,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
20,2000-02-01,1546.2,1554.15,1521.4,1549.5,37161352,2000,-44.0,Downtrend,0.0,44.0,99.45431860986305,-0.026818238914709247,-112832934,1608.1551667072986,0
21,2000-02-02,1554.2,1605.9,1554.2,1588.0,39358471,2000,51.0,Uptrend,51.0,0.0,99.07701975041755,-0.03093915908952216,-73474463,1606.0963988277965,1
22,2000-02-03,1591.25,1616.7,1591.25,1597.9,40826374,2000,10.0,Uptrend,10.0,0.0,98.99525219573896,0.0013159543802483409,-32648089,1603.8051442611352,1
23,2000-02-04,1598.5,1621.35,1596.45,1599.75,30459542,2000,4.0,Uptrend,4.0,0.0,98.95910232946,-0.011034866468842663,-2188547,1604.1099249283034,1
24,2000-02-07,1599.8,1645.9,1599.8,1636.6,34666978,2000,24.0,Uptrend,24.0,0.0,98.71937163729429,0.014442447157999139,32478431,1603.1052616522866,1
25,2000-02-08,1636.6,1676.1,1636.6,1662.75,40722843,2000,30.0,Uptrend,30.0,0.0,98.38816475996009,0.018249180930218323,73201274,1603.8635940255274,1
26,2000-02-09,1666.95,1731.65,1666.7,1689.65,41767017,2000,55.0,Uptrend,55.0,0.0,97.71703503483552,0.07449920508744046,114968291,1605.2301249824682,1
27,2000-02-10,1692.1,1713.7,1692.1,1711.2,30110126,2000,-17.0,Downtrend,0.0,17.0,98.14097247770955,0.05317577548005925,145078417,1611.7337535670295,0
28,2000-02-11,1712.85,1771.65,1712.85,1756.0,33406798,2000,57.0,Uptrend,57.0,0.0,97.44977735927348,0.08301467867275192,178485215,1614.9262402895583,1
29,2000-02-14,1777.75,1795.45,1738.75,1744.5,31621011,2000,23.0,Uptrend,23.0,0.0,97.14151582445851,0.07502696040671708,146864204,1620.6723713098954,1
30,2000-02-15,1744.5,1744.5,1694.45,1702.55,39135619,2000,-50.0,Downtrend,0.0,50.0,98.35357416719114,0.05643459915611815,107728585,1625.7186942771239,0
31,2000-02-16,1704.85,1742.8,1704.15,1711.1,31314383,2000,-1.0,Downtrend,0.0,1.0,98.36882297337077,0.06497790502271727,139042968,1630.502298136276,0
32,2000-02-17,1710.05,1753.1,1710.05,1742.1,28333952,2000,10.0,Uptrend,10.0,0.0,98.26583056556159,0.06560234883934313,167376920,1635.0699536333425,1
33,2000-02-18,1742.3,1764.15,1713.45,1717.8,24491796,2000,11.0,Uptrend,11.0,0.0,98.14061348027779,0.07288738991943045,142885124,1639.216375725967,1
34,2000-02-21,1719.55,1767.8,1719.55,1753.5,26015488,2000,3.0,Uptrend,3.0,0.0,98.10286861724967,0.08200666419844516,168900612,1644.1769389883139,1
35,2000-02-22,1754.2,1781.05,1733.55,1739.05,33425078,2000,13.0,Uptrend,13.0,0.0,97.92209058906232,0.0777454139811602,135475534,1649.5636109709758,1
